CustomerID,CustomerName,CustomerShortName,DateOfBirth,PAN,AadhaarReferenceNumber,DrivingLicense,VoterID,PassportNumber,Nationality,Gender,Salutation,MaritalStatus,CityOfBirth,CountryOfBirth,PreferredLanguage,CustomerSegment,CustomerBand,CreditRating,RiskCategory,FraudIdentificationIndicator,CustomerIdentificationNumber,CustomerEngagementScore,NextBestAction,EthnicCode,MotherName,FatherName,SpouseName,PrioritySectorLendingFlag,CountryOfInitialRisk,CountryOfTaxResidency,UPIHandle,LatestOVDVerificationFlag,LatestAddressVerificationDate,CustomerImage,ApplicantMaidenFullName,SourceOfFunds,HNW/PBGFlag,CustomerLifecycleStage,TotalAssets,NetWorth,IncomeBracket,SpendingPattern,EngagementChannelPreference,CustomerReferralsCount,CustomerClassification,PreferredModeOfCommunication,TotalDebt,AssetToDebtRatio,CustomerEngagementChannel,LoyaltyTier,CustomerFeedbackScore,RetentionRiskFlag,HouseholdIncomeBracket,CustomerTrustScore,CustomerSupportInteractionCount,CustomerBehaviorSegment,DigitalOnboardingCompletionDate,CustomerFeedbackComments
7676fa73-b087-4f2c-a995-bce13aa4c324,Aaron Wise,Charles,12-12-1946,ABCDE2176F,4.05E+11,D1764270,V543983,P59891543,Belize,Other,Mrs.,Widowed,North Deborahville,Nauru,Hindi,Retail,Platinum,707,High,TRUE,1672530789,0.67,Retain,4069,Carla Fuentes,Jason Parrish,Tammy Padilla,TRUE,Panama,Malaysia,melanie@bank,FALSE,09-02-2022,image_0.jpg,Brianna Sullivan,Salary,TRUE,Churned,553783.43,289550.78,High,Frugal,Phone,46,Regular,SMS,30315.2,7.5,Offline,Bronze,3.1,TRUE,Low,0.23,60,Spender,19-07-2021,Realize along all difficult line fight imagine.
dfc0bddb-93ab-46c3-b51c-86eb9626621e,Danielle Reeves,Lindsey,23-11-1992,ABCDE2375F,5.52E+11,D5907285,V193390,P38476225,British Virgin Islands,Male,Dr.,Married,Christopherstad,Moldova,French,SME,Silver,653,High,TRUE,4627985847,0.45,Upsell,3794,Sharon Lucas,Ryan Bailey,Jacob Johnson,FALSE,Mauritania,Northern Mariana Islands,elizabeth@bank,FALSE,06-09-2022,image_1.jpg,Lisa Cook,Inheritance,FALSE,New,788646.35,281039.41,Low,Moderate,Phone,25,Priority,Email,9138.88,7.98,Online,Silver,7.42,TRUE,Middle,0.25,11,Saver,27-10-2023,Charge minute deal dinner.
ddb2af9f-df78-4d0c-a68a-a9e77ec51b80,Patrick West,Christopher,05-04-1977,ABCDE1249F,3.88E+11,D2215024,V752840,P67856141,Zimbabwe,Female,Mrs.,Single,Dianemouth,Vanuatu,English,SME,Platinum,426,High,FALSE,9807230115,0.36,Retain,4942,Joyce Todd,Ralph Turner,Joshua Henderson,FALSE,Estonia,Malawi,teresa@bank,TRUE,08-09-2020,image_2.jpg,Amber Mays,Business Income,FALSE,Engaged,621405.62,348534.52,Low,Moderate,Email,27,Low-priority,Phone Call,20699.09,1.32,Mixed,Silver,8.57,FALSE,Low,0.13,97,Spender,29-03-2023,Could over measure clear deal pattern anything candidate.
6e399a46-abda-439b-8398-d9dfa2cf9dc4,Stephanie Mclean,Daniel,22-11-1977,ABCDE7853F,7.11E+11,D4870737,V681869,P90158626,Saudi Arabia,Other,Ms.,Divorced,Changberg,Israel,English,SME,Platinum,393,Medium,FALSE,3142996262,0.48,Upsell,6018,Lisa Smith,Ryan Mathews,Chris Peterson,FALSE,New Zealand,Moldova,jenna@bank,TRUE,31-05-2022,image_3.jpg,Samantha Morgan,Savings,TRUE,New,341145.34,483182.48,Middle,Frugal,Email,35,Low-priority,Email,47989.18,7.02,Online,Silver,8.95,FALSE,High,0.34,33,Saver,26-12-2024,Cold prove race.
fa553a42-55b2-4d93-8183-c6e0ea89f3fe,Catherine Young,Michael,22-06-1981,ABCDE9548F,4.75E+11,D4091499,V806085,P92033444,Luxembourg,Other,Mrs.,Widowed,Lake Melissabury,Slovakia (Slovak Republic),Hindi,SME,Platinum,379,Low,FALSE,9164285758,0.59,Upsell,7479,Shelly Diaz,Philip Rollins,Michael Hamilton,FALSE,Gambia,Angola,gregory@bank,TRUE,15-03-2022,image_4.jpg,Stephanie Rodriguez,Inheritance,TRUE,Engaged,62246.74,487198.93,High,Frugal,Phone,1,Low-priority,Email,14547.87,3.65,Online,Gold,1.9,FALSE,Middle,0.21,88,Spender,14-12-2023,Would experience or Democrat should class ok method.
95a76bda-fddb-4515-b186-c1fef8182856,Kathleen Murray,Erika,30-05-2005,ABCDE2887F,8.89E+11,D5072047,V851914,P24782349,Iran,Female,Ms.,Single,Port Kathleen,Samoa,English,Retail,Silver,445,Low,TRUE,8687961322,0.36,Cross-sell,6337,Ashley Marquez,Robert Lin,Lindsay Smith,TRUE,Pitcairn Islands,Belize,james@bank,FALSE,23-03-2020,image_5.jpg,Sarah Wilson,Business Income,FALSE,Churned,947932.92,347915.73,Low,Frugal,Email,8,Low-priority,SMS,12040.84,9.39,Online,Gold,9.11,TRUE,Low,0.17,38,Investor,01-06-2020,Computer tough financial all design your.
3e6b6491-15ad-465c-99a2-e2bbbd245394,Christopher Young,Leah,19-01-1972,ABCDE7923F,5.45E+11,D9054424,V921866,P23166824,Luxembourg,Other,Ms.,Divorced,Port Justin,Norway,Spanish,SME,Gold,615,Low,TRUE,7837238941,0.26,Retain,1099,Charlene Boyd,Charles Williams,Pamela Doyle,FALSE,Libyan Arab Jamahiriya,Libyan Arab Jamahiriya,tammy@bank,FALSE,26-03-2021,image_6.jpg,Nicole Benton,Business Income,TRUE,New,37578.22,57243,High,Moderate,Online,11,Regular,SMS,25911,1.25,Offline,Platinum,7.84,TRUE,Low,0.03,60,Spender,12-06-2022,Must candidate specific part.
95b3dc89-07d9-4ab5-aba2-6738af9ad81e,Lacey Tapia,Christina,26-09-1950,ABCDE4444F,1.52E+11,D7997977,V215430,P83691066,Lebanon,Other,Prof.,Married,Antonioport,Cook Islands,Spanish,Retail,Platinum,339,High,TRUE,5672279132,0.53,Retain,8347,Erin Wagner,Scott Clayton,Michael Santana,FALSE,British Indian Ocean Territory (Chagos Archipelago),Thailand,christine@bank,TRUE,26-03-2023,image_7.jpg,Laurie Peters,Business Income,TRUE,Churned,290030.95,111135.63,Low,Frugal,Phone,3,Priority,Phone Call,26553.87,1.12,Offline,Bronze,5.84,FALSE,Low,0.43,77,Investor,06-08-2021,Compare military respond man.
7f69f529-fcac-446f-8809-e87c369078d8,Stephanie Alvarez,Abigail,08-10-1969,ABCDE3124F,5.81E+11,D6863353,V974456,P31358999,Czech Republic,Other,Mrs.,Widowed,Kyleland,Czech Republic,French,SME,Silver,634,High,FALSE,3701183945,0.55,Upsell,3081,Danielle Lee,Harold Rubio,Stacey Galvan,TRUE,Saint Pierre and Miquelon,Dominican Republic,hannah@bank,TRUE,02-07-2024,image_8.jpg,Taylor White,Business Income,FALSE,New,75940.2,446282.86,Middle,Extravagant,In-person,16,Low-priority,SMS,1535.67,2.65,Online,Bronze,9.64,TRUE,Middle,0.97,72,Spender,08-10-2020,Area hundred professional run attack.
ac818f92-4549-4619-880f-3f08c65b15b5,Jonathan Williams,Michael,23-05-1977,ABCDE4060F,6.09E+11,D2938893,V207331,P57293874,Chad,Female,Ms.,Widowed,New Sophiastad,Belgium,French,Retail,Silver,654,High,FALSE,9917037940,0.65,Upsell,1577,Amy Carroll,Dr. Paul Randall,Anthony Hunter,FALSE,Sri Lanka,Puerto Rico,david@bank,TRUE,23-03-2021,image_9.jpg,Erica Reynolds,Inheritance,TRUE,At Risk,373786.08,25005.16,Middle,Moderate,Online,4,Low-priority,Email,48091.46,9.15,Online,Platinum,3.64,FALSE,Middle,0.66,93,Investor,19-02-2024,Three they sister store ever music character.
